PSYKINEMATIX SESSION DATA
CCTE - CCT-Ellipse
MELA_0147 (control)
#1 (03/11/21, 13:02:12)
Saturation
Condition	Mean	Std	Variables	
azimuth	0.009712319	0.0009431062	az = 1.2566	
azimuth	0.0102863	0.001627354	az = 1.5708	
azimuth	0.007385599	0.002489605	az = 2.5133	
azimuth	0.005774542	0.002166047	az = 0.6283	
azimuth	0.01354388	0.002261305	az = 4.3982	
azimuth	0.00693365	0.00220279	az = 0	
azimuth	0.004912785	0.0005853323	az = 2.1991	
azimuth	0.002559532	0.0002962076	az = 4.7124	
azimuth	0.009171171	0.001810768	az = 1.885	
azimuth	0.00849966	0.002288623	az = 3.7699	
azimuth	0.00861156	0.001729043	az = 5.6549	
azimuth	0.01264633	0.002613366	az = 5.0265	
azimuth	0.006139055	0.001304401	az = 5.969	
azimuth	0.006697698	0.0007751114	az = 3.4558	
azimuth	0.008949744	0.001008214	az = 0.9425	
azimuth	0.005990604	0.0008958754	az = 3.1416	
azimuth	0.009192443	0.00199596	az = 4.0841	
azimuth	0.009262416	0.002155797	az = 2.8274	
azimuth	0.01294108	0.002565613	az = 5.3407	
azimuth	0.007315624	0.001882559	az = 0.3142	
