PSYKINEMATIX SESSION DATA
CCTT - CCT-Trivector
MELA_3016 (control)
#1 (02/07/19, 13:17:08)
Independent Variables
 Variable	Value	
v_prime_w	0.4689	
u_prime_w	0.1977	
Trials
Trial Index	DIN	Input	RT	Response	Time	Trial sound Selection	
1	0.000000	Bottom Button	NA	Hit	32.8034040927887	beep-01a	
2	0.000000	Left Button	NA	Hit	NA	beep-01a	
3	0.000000	Top Button	NA	Hit	NA	beep-01a	
9	0.000000	Bottom Button	NA	Hit	NA	beep-01a	
10	0.000000	NA	NA	Miss	NA	beep-01a	
11	0.000000	NA	NA	Miss	NA	beep-01a	
17	0.000000	Bottom Button	NA	Hit	NA	beep-01a	
18	0.000000	Left Button	NA	Miss	NA	beep-01a	
20	0.000000	Top Button	NA	Hit	NA	beep-01a	
21	0.000000	NA	NA	Miss	NA	beep-01a	
22	0.000000	Left Button	NA	Hit	NA	beep-01a	
23	0.000000	NA	NA	Miss	NA	beep-01a	
25	0.000000	NA	NA	Miss	NA	beep-01a	
26	0.000000	NA	NA	Miss	NA	beep-01a	
28	0.000000	NA	NA	Miss	NA	beep-01a	
31	0.000000	NA	NA	Miss	NA	beep-01a	
32	0.000000	Right Button	NA	Hit	NA	beep-01a	
	0.000000	Bottom Button	NA	Miss		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
Saturation
Condition	Mean	Std	Variables	
azimuth	0.008844909	0.001313168	az = 4.83	
azimuth	0.03792825	0.008134852	az = 5.98	
azimuth	0.055	0	az = 0.07	
Events
Kind	Name	StartTime	EndTime	Prefly	Onset	Offset	Duration	stimulusRT	DIN	Input	Instance Index	Response	
Procedure	Position Discrimination	54.47046399116516	58.56094408035278	NA	NA	NA	NA	NA	0.000000	Left Button	NA	Miss	
Composed Stimuli	New Timeline plate	54.72128403186798	58.29939305782318	0.01323497295379639	54.76056802272797	58.29346299171448	3.532894968986511	3.518403614997865	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	54.73452210426331	58.29964303970337	0.0003869533538818359	54.76056802272797	58.29346299171448	3.532894968986511	3.518403614997865	NA	NA	NA	NA	
Method	Staircase	58.56418406963348	60.73483109474182	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	58.56449604034424	60.73280608654022	NA	NA	NA	NA	NA	0.000000	Top Button	NA	Hit	
Composed Stimuli	New Timeline plate	58.81527304649353	60.47133910655975	0.01340794563293457	58.84871006011963	60.46786308288574	1.619153022766113	1.597367059707643	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	58.82868409156799	60.4715861082077	0.0003579854965209961	58.84871006011963	60.46786308288574	1.619153022766113	1.597367059707643	NA	NA	NA	NA	
Method	Staircase	60.73549699783325	66.69898903369904	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	60.7358900308609	66.69545304775238	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	60.98670601844788	66.43409502506256	0.01313507556915283	61.0259200334549	66.42650604248047	5.400586009025574	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	60.99984502792358	66.43433201313019	0.0003609657287597656	61.0259200334549	66.42650604248047	5.400586009025574	-1	NA	NA	NA	NA	
Method	Staircase	66.69951808452606	68.3928530216217	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	66.69984805583954	68.39102208614349	NA	NA	NA	NA	NA	0.000000	Left Button	NA	Hit	
Composed Stimuli	New Timeline plate	66.95055305957794	68.12948906421661	0.01344501972198486	66.98384499549866	68.12657010555267	1.142725110054016	1.127409093856812	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	66.96400105953217	68.12974500656128	0.0003379583358764648	66.98384499549866	68.12657010555267	1.142725110054016	1.127409093856812	NA	NA	NA	NA	
Method	Staircase	68.39341306686401	74.21480000019073	NA	NA	NA	NA	NA	NA	NA	2	NA	
Procedure	Position Discrimination	68.39380300045013	74.21122109889984	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	68.64440703392029	73.94976508617401	0.01328599452972412	68.68346107006073	73.94283604621887	5.259374976158142	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	68.65769600868225	73.95001006126404	0.0003399848937988281	68.68346107006073	73.94283604621887	5.259374976158142	-1	NA	NA	NA	NA	
Method	Staircase	74.21554207801819	80.11534106731415	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	74.21583199501038	80.1117240190506	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	74.46663200855255	79.85031402111053	0.01332402229309082	74.49994802474976	79.84192800521851	5.34197998046875	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	74.47996008396149	79.85056209564209	0.0003759860992431641	74.49994802474976	79.84192800521851	5.34197998046875	-1	NA	NA	NA	NA	
Method	Staircase	80.11610209941864	85.9963960647583	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	80.11644601821899	85.99282610416412	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	80.36719501018524	85.73138701915741	0.01351606845855713	80.39930999279022	85.7243720293045	5.325062036514282	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	80.38073003292084	85.73164701461792	0.000370025634765625	80.39930999279022	85.7243720293045	5.325062036514282	-1	NA	NA	NA	NA	
Method	Staircase	85.99704504013062	91.86374807357788	NA	NA	NA	NA	NA	NA	NA	2	NA	
Procedure	Position Discrimination	85.99736404418945	91.86011099815369	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	86.24800610542297	91.5986750125885	0.01301288604736328	86.28221499919891	91.59113800525665	5.308923006057739	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	86.26102209091187	91.59895205497742	0.0003809928894042969	86.28221499919891	91.59113800525665	5.308923006057739	-1	NA	NA	NA	NA	
Method	Staircase	91.86441099643707	97.75406408309937	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	91.86471402645111	97.75046408176422	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	92.1155149936676	97.48906207084656	0.01309406757354736	92.14842009544373	97.48227608203888	5.333855986595154	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	92.12861299514771	97.48928809165955	0.0003679990768432617	92.14842009544373	97.48227608203888	5.333855986595154	-1	NA	NA	NA	NA	
Method	Staircase	97.75471103191376	99.44003999233246	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	97.76107609272003	99.43831300735474	NA	NA	NA	NA	NA	0.000000	Right Button	NA	Hit	
Composed Stimuli	New Timeline plate	98.01163709163666	99.17685103416443	0.01317989826202393	98.04447400569916	99.17396199703217	1.129487991333008	1.11460209369659	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	98.02483606338501	99.17709600925446	0.0003670454025268555	98.04447400569916	99.17396199703217	1.129487991333008	1.11460209369659	NA	NA	NA	NA	
Method	Staircase	99.44059205055237	103.5270839929581	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	99.44094502925873	103.5242060422897	NA	NA	NA	NA	NA	0.000000	Bottom Button	NA	Miss	
Composed Stimuli	New Timeline plate	99.6917040348053	103.2625750303268	0.01310503482818604	99.7287210226059	103.2574700117111	3.528748989105225	3.49844149780273	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	99.70482802391052	103.2628370523453	0.0003730058670043945	99.7287210226059	103.2574700117111	3.528748989105225	3.49844149780273	NA	NA	NA	NA	
Method	Staircase	103.5277360677719	106.1408430337906	NA	NA	NA	NA	NA	NA	NA	2	NA	
Procedure	Position Discrimination	103.528088092804	106.1384620666504	NA	NA	NA	NA	NA	0.000000	Left Button	NA	Hit	
Composed Stimuli	New Timeline plate	103.7788060903549	105.8768889904022	0.01332199573516846	103.8151330947876	105.8739240169525	2.058790922164917	2.036390999794008	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	103.7921310663223	105.8771620988846	0.0004149675369262695	103.8151330947876	105.8739240169525	2.058790922164917	2.036390999794008	NA	NA	NA	NA	
Method	Staircase	106.1414170265198	107.8820480108261	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	106.1417340040207	107.8802599906921	NA	NA	NA	NA	NA	0.000000	Bottom Button	NA	Hit	
Composed Stimuli	New Timeline plate	106.3925120830536	107.618577003479	0.0133289098739624	106.431734085083	107.6153810024261	1.18364691734314	1.173353427886966	NA	NA	NA	NA	
