PSYKINEMATIX SESSION DATA
CCTT - CCT-Trivector
MELA_3011 (control)
#1 (01/07/19, 14:14:04)
Independent Variables
 Variable	Value	
v_prime_w	0.4689	
u_prime_w	0.1977	
Trials
Trial Index	DIN	Input	RT	Response	Time	Trial sound Selection	
1	0.000000	NA	NA	Miss	31.44404101371765	beep-01a	
2	0.000000	NA	NA	Miss	NA	beep-01a	
14	0.000000	Bottom Button	NA	Hit	NA	beep-01a	
17	0.000000	Top Button	NA	Hit	NA	beep-01a	
21	0.000000	Right Button	NA	Hit	NA	beep-01a	
33	0.000000	Top Button	NA	Hit	NA	beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
Saturation
Condition	Mean	Std	Variables	
azimuth	0.055	0	az = 0.07	
azimuth	0.01173853	0.001308363	az = 4.83	
azimuth	0.04881086	0.006733899	az = 5.98	
Events
Kind	Name	StartTime	EndTime	Prefly	Onset	Offset	Duration	stimulusRT	DIN	Input	Instance Index	Response	
Composed Stimuli	New Timeline plate	53.65439903736115	59.02388298511505	0.01335501670837402	53.6919139623642	59.01654803752899	5.324634075164795	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	53.66777205467224	59.02417206764221	0.0003519058227539062	53.6919139623642	59.01654803752899	5.324634075164795	-1	NA	NA	NA	NA	
Method	Staircase	59.28961002826691	65.31495404243469	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	59.28990602493286	65.31122696399689	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	59.54051995277405	65.04984200000763	0.01323699951171875	59.57130098342896	65.04146695137024	5.470165967941284	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	59.55376100540161	65.05010604858398	0.0003780126571655273	59.57130098342896	65.04146695137024	5.470165967941284	-1	NA	NA	NA	NA	
Method	Staircase	65.31553399562836	71.34741795063019	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	65.31589698791504	71.34367895126343	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	65.56669306755066	71.08214700222015	0.01330089569091797	65.59891796112061	71.07366394996643	5.474745988845825	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	65.57999706268311	71.08242499828339	0.0003499984741210938	65.59891796112061	71.07366394996643	5.474745988845825	-1	NA	NA	NA	NA	
Procedure	Position Discrimination	71.34840798377991	72.80552196502686	NA	NA	NA	NA	NA	0.000000	Bottom Button	NA	Hit	
Composed Stimuli	New Timeline plate	71.59915196895599	72.5439909696579	0.01333498954772949	71.63117599487305	72.54127597808838	0.910099983215332	0.887588550567628	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	71.61249101161957	72.54422295093536	0.0004090070724487305	71.63117599487305	72.54127597808838	0.910099983215332	0.887588550567628	NA	NA	NA	NA	
Method	Staircase	72.80787301063538	75.31613504886627	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	72.80820596218109	75.31402695178986	NA	NA	NA	NA	NA	0.000000	Left Button	NA	Hit	
Composed Stimuli	New Timeline plate	73.05902695655823	75.05239498615265	0.01331901550292969	73.09824299812317	75.04906499385834	1.950821995735168	1.937629039764403	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	73.07236397266388	75.05267095565796	0.0003499984741210938	73.09824299812317	75.04906499385834	1.950821995735168	1.937629039764403	NA	NA	NA	NA	
Method	Staircase	75.31688702106476	77.86561501026154	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	75.31718802452087	77.863401055336	NA	NA	NA	NA	NA	0.000000	Top Button	NA	Hit	
