PSYKINEMATIX SESSION DATA
CCTE - CCT-Ellipse
MELA_3032 (control)
#1 (23/10/19, 09:35:18)
Saturation
Condition	Mean	Std	Variables	
azimuth	0.02710947	0.003210081	az = 3.7699	
azimuth	0.055	0	az = 0	
azimuth	0.0214488	0.003436693	az = 4.3982	
azimuth	0.055	0	az = 3.1416	
azimuth	0.02265134	0.005103039	az = 1.885	
azimuth	0.025585	0.006955849	az = 4.0841	
azimuth	0.01944313	0.004097518	az = 1.2566	
azimuth	0.01777046	0.001783908	az = 5.0265	
azimuth	0.02024688	0.003822639	az = 2.1991	
azimuth	0.02289952	0.004865586	az = 0.6283	
azimuth	0.055	0	az = 2.8274	
azimuth	0.04740263	0.006587415	az = 3.4558	
azimuth	0.01662392	0.00164444	az = 1.5708	
azimuth	0.01932054	0.002301929	az = 4.7124	
azimuth	0.04840749	0.004768927	az = 0.3142	
azimuth	0.03097934	0.003585174	az = 5.3407	
azimuth	0.02033441	0.002290718	az = 0.9425	
azimuth	0.03334694	0.006647545	az = 5.6549	
azimuth	0.03453674	0.00696463	az = 2.5133	
azimuth	0.055	0	az = 5.969	
